cell_key,minimum_dQ_100_10,variance_dQ_100_10,skewness_dQ_100_10,kurtosis_dQ_100_10,slope_lin_fit_2_100,intercept_lin_fit_2_100,discharge_capacity_2,diff_discharge_capacity_max_2,mean_charge_time_2_6,minimum_IR_2_100,diff_IR_100_2,minimum_dQ_5_4,variance_dQ_5_4,cycle_life,cycle_550_clf
b1c0,-2.050261434472745,-11.631569628834896,-0.3192379600046858,-0.09431404924750353,-0.00020680701298701344,1.0911437324098123,1.0706892,0.46836520000000004,13.374893999999992,0.016443744,-9.244100000000213e-05,-4.401376911746848,-6.122064710881911,1852.0,1.0
b1c1,-2.045149878424103,-11.82556162160669,-1.1489907960253412,0.03782252102886837,5.535292517007067e-06,1.0809645798796124,1.0753012,0.009288300000000138,13.409150000000002,0.0,-3.3898000000000955e-05,-3.280600287616617,-5.8941683208669335,2160.0,1.0
b1c2,-1.986994080593585,-11.40213136364986,-0.8267168398533468,0.160194370194788,1.0295625231910931e-05,1.0848461200828694,1.0799223,0.008131200000000005,13.358242333333328,0.0,-9.436000000001554e-06,-2.872271523233882,-5.794339193063162,2237.0,1.0
b1c3,-1.7033213351118928,-10.099938840485787,-0.7416455918309489,0.1170888834933437,1.7136347557204537e-05,1.0840750159715524,1.0797229,0.006530099999999983,12.025139666666673,0.0,4.418600000000161e-05,-2.499169486854778,-5.74863449635794,1434.0,1.0
b1c4,-1.8373966800088448,-10.60289604550684,-1.0521542363159833,0.3083399529727112,1.8994317872603454e-05,1.0818748211016282,1.0784167,0.005899899999999958,12.041850666666674,0.0,-3.616799999999962e-05,-2.769062463483186,-6.172431682787359,1709.0,1.0
b1c5,-1.5836357259876548,-9.569157052351464,-1.9568955065863636,0.17593733252281973,1.1228400742114999e-05,1.0797547949964956,1.0761266,0.005943800000000055,10.967849666666668,0.015922785,-0.00012442500000000092,-2.983186881444863,-6.912892918006943,1074.0,1.0
b1c6,-1.4142291992982903,-8.683699788031726,-0.9327868282920001,0.19063669961605492,-4.808646876932585e-06,1.0811570258392085,1.0758358,0.006303200000000064,10.07647899999999,0.0,-0.0003341080000000031,-2.903820177203282,-6.190970893631698,636.0,1.0
b1c7,-1.4288569192482274,-8.800098886775865,-1.1753835804422996,0.10652614906407963,-6.428188002473639e-06,1.0972542699113585,1.0938644,0.004104200000000002,10.02508166666667,0.0,-3.730899999999926e-05,-2.9437491956376274,-6.66171076058532,870.0,1.0
b1c9,-1.528094578572831,-9.1611681294444,-0.7774753502840729,0.1864003040991704,1.8204385899814532e-05,1.0867714248039577,1.0829742,0.005975700000000028,11.207955999999994,0.016611163,-2.4974999999999997e-05,-5.285014514632307,-5.598431010597197,1054.0,1.0
b1c11,-1.598897340840833,-9.438460972122117,-0.5016757757123161,0.16860374640442846,2.180940259740286e-05,1.0589716063261183,1.0537786,0.009460400000000035,11.668875999999987,0.0,-0.00030444799999999883,-3.6158985592845037,-6.53605917134161,788.0,1.0
